#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F150W2 F322W2 F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M    Mact
 1   9.05  0.35  0.14870 -2.616 3.488  5.126  9.00  0.039 0.89 19.719 20.376 18.771 17.957 17.473 17.171 17.091 16.599 16.492 17.506 16.845 17.669 17.182 17.258 17.064 17.126 17.048 16.716 16.523 16.423 16.462 16.573 16.549  0.149 
 1   9.07  0.07  0.09664 -3.138 3.438  5.257  9.50  0.040 0.00 22.114 23.358 21.259 20.250 19.812 19.513 19.471 18.778 18.681 19.817 19.108 20.100 19.422 19.646 19.351 19.509 19.397 18.929 18.679 18.583 18.658 18.800 18.764  0.097 
 1   9.09 -0.11  0.06407 -4.115 3.248  5.297  9.20  0.040 0.00 24.258 28.324 25.263 23.157 22.007 21.164 20.633 19.754 19.601 21.865 20.154 22.650 21.352 21.483 20.874 20.793 20.445 19.924 19.651 19.536 19.612 19.676 19.616  0.064 
 1   9.09 -0.09  0.10586 -2.981 3.462  5.239  9.40  0.040 0.00 21.623 22.504 20.708 19.819 19.341 19.048 18.984 18.405 18.304 19.370 18.688 19.572 19.012 19.152 18.918 19.022 18.924 18.534 18.318 18.222 18.277 18.405 18.371  0.106 
 1   9.09  0.03  0.57268 -1.203 3.612  4.794  7.70  0.037 0.93 14.843 14.623 13.901 13.374 12.734 12.443 12.474 12.307 12.297 12.838 12.397 12.910 12.501 12.462 12.416 12.501 12.468 12.349 12.274 12.238 12.274 12.375 12.355  0.573 
 1   9.11 -0.25  0.27356 -1.934 3.570  5.037  9.90  0.040 0.00 19.506 19.425 18.514 17.937 17.384 17.094 17.080 16.800 16.721 17.458 16.947 17.536 17.165 17.136 17.041 17.113 17.063 16.876 16.749 16.672 16.699 16.780 16.768  0.274 
 1   9.11  0.19  0.09314 -3.205 3.425  5.258  7.90  0.038 0.00 20.683 22.120 19.867 18.795 18.373 18.074 18.042 17.290 17.195 18.368 17.643 18.695 17.949 18.222 17.894 18.083 17.956 17.451 17.184 17.089 17.175 17.324 17.285  0.093 
 1   9.13 -0.15  0.13619 -2.685 3.493  5.176  8.30  0.039 0.00 19.783 20.307 18.829 18.058 17.544 17.247 17.164 16.711 16.607 17.591 16.938 17.727 17.273 17.326 17.149 17.203 17.120 16.818 16.640 16.544 16.579 16.685 16.657  0.136 
 1   9.13  0.09  0.22231 -2.161 3.541  5.054  9.30  0.040 0.00 19.473 19.646 18.484 17.837 17.296 16.983 16.938 16.612 16.529 17.356 16.780 17.442 17.075 17.035 16.918 16.978 16.913 16.690 16.558 16.473 16.497 16.590 16.578  0.222 
 1   9.15 -0.09  0.65153 -0.969 3.641  4.730  8.50  0.039 0.81 15.278 14.972 14.368 13.878 13.240 12.958 12.963 12.856 12.871 13.350 12.914 13.408 13.021 12.972 12.937 12.994 12.950 12.880 12.836 12.814 12.847 12.945 12.923  0.652 
 1   9.15  0.13  0.04529 -4.664 3.106  5.128  8.10  0.038 0.00 24.530 34.340 30.215 27.105 24.322 22.025 20.708 19.402 19.066 23.159 19.931 25.074 23.588 22.679 21.600 21.038 20.328 19.746 19.270 18.989 19.143 19.145 19.068  0.045 
 1   9.15  0.23  0.67104 -0.972 3.632  4.709 10.20  0.040 0.00 17.401 17.113 16.493 15.995 15.338 15.048 15.056 14.967 15.006 15.452 15.016 15.507 15.118 15.060 15.030 15.097 15.035 14.982 14.953 14.943 14.981 15.091 15.065  0.671 
 1   9.17 -0.21  0.26012 -1.981 3.565  5.042  8.80  0.039 0.98 17.785 17.746 16.795 16.206 15.652 15.354 15.331 15.049 14.971 15.724 15.196 15.801 15.435 15.398 15.299 15.367 15.311 15.123 14.998 14.921 14.948 15.030 15.017  0.260 
 1   9.17  0.03  0.43719 -1.538 3.583  4.894  5.90  0.027 0.00 14.516 14.436 13.514 12.942 12.372 12.090 12.112 11.852 11.790 12.455 11.988 12.536 12.141 12.122 12.044 12.139 12.101 11.923 11.802 11.733 11.767 11.856 11.848  0.437 
 1   9.17  0.29  0.64311 -1.043 3.624  4.731  7.80  0.037 0.76 14.804 14.615 13.866 13.330 12.685 12.390 12.410 12.265 12.276 12.790 12.343 12.857 12.455 12.408 12.364 12.448 12.393 12.298 12.239 12.212 12.251 12.358 12.337  0.643 
 1   9.19 -0.29  0.19035 -2.256 3.548  5.111 10.30  0.040 0.00 20.710 20.764 19.737 19.116 18.558 18.240 18.170 17.884 17.804 18.624 18.033 18.700 18.348 18.290 18.179 18.215 18.141 17.954 17.835 17.758 17.779 17.859 17.836  0.190 
 1   9.19  0.17  0.08824 -3.305 3.411  5.278  7.80  0.037 0.00 20.833 22.521 20.082 18.928 18.518 18.216 18.183 17.370 17.279 18.502 17.746 18.888 18.051 18.386 18.013 18.232 18.082 17.543 17.259 17.165 17.265 17.418 17.375  0.088 
 1   9.21  0.17  0.52846 -1.328 3.597  4.822  7.00  0.034 0.71 14.717 14.633 13.740 13.169 12.562 12.269 12.296 12.069 12.031 12.653 12.189 12.731 12.328 12.296 12.230 12.325 12.286 12.128 12.026 11.971 12.007 12.104 12.090  0.528 
 1   9.23 -0.25  0.18396 -2.308 3.540  5.116 12.80  0.040 0.77 22.911 23.119 21.942 21.269 20.724 20.416 20.339 19.991 19.899 20.784 20.170 20.879 20.493 20.475 20.342 20.382 20.304 20.076 19.933 19.848 19.874 19.963 19.938  0.184 
 1   9.23  0.15  0.25091 -2.063 3.544  5.021 10.60  0.040 0.00 20.527 20.681 19.538 18.898 18.353 18.037 17.996 17.677 17.597 18.414 17.842 18.498 18.134 18.088 17.974 18.037 17.971 17.753 17.625 17.542 17.566 17.658 17.647  0.251 
 1   9.25 -0.33  0.23046 -2.064 3.566  5.075  5.90  0.027 0.00 15.831 15.748 14.840 14.259 13.707 13.413 13.383 13.104 13.023 13.779 13.249 13.855 13.492 13.456 13.357 13.418 13.362 13.178 13.053 12.976 13.002 13.080 13.064  0.230 
 1   9.25  0.09  0.03660 -4.885 3.043  5.006  6.30  0.030 0.00 23.284 35.716 30.845 27.152 23.873 21.169 19.566 18.198 17.581 22.358 18.734 24.790 23.051 21.958 20.689 20.050 19.093 18.856 18.059 17.531 17.725 17.632 17.524  0.037 
 1   9.27 -0.19  0.25329 -2.004 3.563  5.044 10.50  0.040 0.00 20.280 20.259 19.291 18.697 18.143 17.842 17.816 17.533 17.455 18.214 17.680 18.291 17.927 17.886 17.787 17.853 17.795 17.606 17.482 17.405 17.431 17.513 17.500  0.253 
 1   9.27 -0.13  0.08386 -3.448 3.393  5.328 10.30  0.040 0.00 23.690 25.702 23.037 21.778 21.368 21.062 21.012 20.136 20.048 21.343 20.535 21.800 20.852 21.257 20.832 21.075 20.892 20.319 20.019 19.928 20.042 20.194 20.146  0.084 
 1   9.27  0.15  0.47853 -1.449 3.587  4.860  9.60  0.040 0.00 17.992 17.931 17.007 16.430 15.838 15.551 15.580 15.339 15.291 15.926 15.465 16.007 15.602 15.580 15.509 15.608 15.570 15.404 15.292 15.232 15.268 15.362 15.350  0.479 
 1   9.29 -0.15  0.30646 -1.854 3.570  5.006 12.80  0.040 0.00 22.206 22.148 21.210 20.628 20.074 19.784 19.778 19.497 19.420 20.149 19.643 20.227 19.854 19.824 19.731 19.811 19.761 19.572 19.445 19.368 19.397 19.480 19.471  0.306 
 1   9.29 -0.13  0.84526 -0.421 3.716  4.596  6.40  0.030 0.00 12.223 11.748 11.384 11.052 10.588 10.413 10.390 10.373 10.402 10.694 10.382 10.691 10.452 10.418 10.405 10.415 10.378 10.374 10.372 10.369 10.387 10.445 10.434  0.845 
