#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F560W  F770W  F1000W F1130W F1280W F1500W F1800W F2100W F2550W   Mact
 1   9.05  0.01  0.42877 -1.556 3.582  4.900 10.10  0.040 0.00 18.761 16.067 16.070 16.000 15.989 15.972 15.953 15.919 15.896 15.709  0.429 
 1   9.05  0.21  0.05789 -4.291 3.204  5.253  7.30  0.035 0.98 22.073 17.013 16.852 16.831 16.652 16.549 16.509 16.518 16.432 15.851  0.058 
 1   9.07 -0.13  0.09417 -3.178 3.437  5.285  9.60  0.040 0.00 22.314 18.941 18.894 18.651 18.636 18.600 18.572 18.479 18.537 18.104  0.094 
 1   9.07  0.17  0.20464 -2.236 3.533  5.062  9.10  0.039 0.76 19.042 16.015 16.009 15.892 15.894 15.864 15.851 15.781 15.768 15.202  0.205 
 1   9.09  0.23  0.26632 -2.024 3.544  5.010 12.30  0.040 0.00 22.129 19.213 19.212 19.125 19.133 19.102 19.092 19.032 19.004 18.421  0.266 
 1   9.09  0.27  0.31801 -1.871 3.555  4.977  8.60  0.039 0.00 18.048 15.187 15.187 15.108 15.114 15.086 15.075 15.021 14.991 14.470  0.318 
 1   9.11 -0.23  0.02441 -5.127 2.966  4.764  5.00  0.021 0.00 22.587 16.521 16.508 16.405 16.054 15.788 15.709 15.744 15.601 15.152  0.024 
 1   9.11 -0.23  0.02156 -4.566 3.070  4.411  7.20  0.035 0.71 23.126 17.248 17.122 17.224 16.954 16.728 16.665 16.701 16.646 16.440  0.015 
 1   9.11  0.15  0.19848 -2.261 3.532  5.069  9.30  0.040 0.00 19.723 16.750 16.748 16.646 16.650 16.620 16.607 16.543 16.521 15.947  0.198 
 1   9.11  0.19  0.04677 -4.616 3.119  5.145  9.00  0.039 0.77 24.859 19.225 19.113 19.129 18.884 18.688 18.648 18.675 18.551 18.049  0.047 
 1   9.13 -0.19  0.16547 -2.449 3.520  5.132 10.00  0.040 0.00 20.891 17.857 17.847 17.739 17.744 17.709 17.685 17.639 17.625 17.256  0.165 
 1   9.13  0.09  0.03018 -5.104 2.983  4.900  8.70  0.039 0.00 26.230 20.223 20.199 20.089 19.750 19.504 19.434 19.459 19.269 18.664  0.030 
 1   9.15 -0.15  0.31332 -1.838 3.571  5.004  6.00  0.027 0.00 15.366 12.617 12.620 12.547 12.540 12.519 12.499 12.464 12.441 12.223  0.313 
 1   9.15 -0.11  0.18770 -2.303 3.536  5.103  9.80  0.040 0.86 19.779 16.777 16.770 16.665 16.670 16.637 16.619 16.565 16.549 16.094  0.188 
