# RA DEC F1500W_MAG_KRON F1500W_MAG_CIRC3 F1500W_MAG_CIRC4 F1500W_MAG_CIRC5 F2100W_MAG_KRON F2100W_MAG_CIRC3 F2100W_MAG_CIRC4 F2100W_MAG_CIRC5
53.11972 -27.87381 20.99687 21.77584 22.99197   nan 18.10732 17.94631 17.69049 17.72373
53.11931 -27.87380 16.96572 17.07243 17.07365 17.05795 15.17710 15.32029 15.27847 15.22191
53.10560 -27.87354 20.80309 20.78994 20.07982 19.62695 20.25998 18.72844 17.51354 17.40262
53.13209 -27.87338 18.52491 18.87585 18.88915 18.85094 17.13125 16.55051 16.81079 17.10715
53.15131 -27.87335 17.96825 18.04259 18.01671 18.03911 15.81106 15.83109 15.84019 15.86623
53.13550 -27.87320 21.71235 20.23315 20.07067 20.43909 17.36432 17.50547 18.32440   nan
53.12007 -27.87323 19.34041 19.30832 19.64159 20.40508 17.74319 17.91548 17.85224 17.52629
53.11516 -27.87321 20.06674 20.10544 20.07098 20.21462 18.39021 18.41181 18.19411 18.81164
53.12072 -27.87304 17.27534 17.75164 17.67454 17.58168 14.48990 14.63453 14.66307 14.65554
53.10948 -27.87292 17.22727 17.25382 17.26147 17.24855 17.30018 17.02825 17.32437 17.81034
53.12882 -27.87235 19.90822 19.17162 19.31367 19.27454 17.44154 17.31757 17.37932 17.62503
53.10736 -27.87234 13.09810 13.98586 13.92241 13.82472 13.38210 13.98136 13.96440 13.91998
53.12023 -27.87230 16.68247 16.76202 16.74302 16.70672 14.96306 15.00543 14.99067 14.96295
53.11618 -27.87198 16.80390 17.13219 17.07882 17.00009 15.90604 17.19344 16.68433 16.45516
53.12941 -27.87162 16.23446 16.89832 16.86008 16.77855 15.58331 16.13923 16.20121 16.07392
53.11200 -27.87122 17.66809 18.02125 17.93539 17.83165 17.30920 16.76577 16.79224 16.88927
53.15216 -27.87108 19.60177 19.79013 20.07410 20.01772 17.79650 17.68731 17.68963 17.78905
53.14662 -27.87103 15.22761 15.34125 15.33881 15.31472 14.01082 14.06592 14.08480 14.06732
53.15142 -27.87084 16.98141 17.13882 17.09376 17.04323 15.41703 15.43905 15.43947 15.39667
53.10035 -27.87080 18.64300 19.40167 19.23000 18.88681 18.65643   nan   nan   nan
53.10208 -27.87077   nan   nan   nan   nan 18.23667 19.59029 19.11524 18.40260
53.12051 -27.87080 19.69423 19.71482 19.58303 19.56507 18.08333 18.23280 17.88532 17.91932
53.15081 -27.87060 19.54867 19.20813 19.35299 19.32777   nan   nan   nan 18.70129
53.14958 -27.87044 17.89686 17.92051 17.94175 17.92750 16.08850 16.22009 16.17322 16.15471
53.13022 -27.87041 17.53693 17.51715 17.52475 17.54297 16.72611 16.57132 16.38435 16.31710
53.11363 -27.87030 19.96935 20.06831 19.71601 19.52279 16.93538 16.93225 17.03776 17.13877
