# RA DEC F1500W_MAG_KRON F1500W_MAG_CIRC3 F1500W_MAG_CIRC4 F1500W_MAG_CIRC5 F2100W_MAG_KRON F2100W_MAG_CIRC3 F2100W_MAG_CIRC4 F2100W_MAG_CIRC5
53.17453 -27.81506 15.35032 16.15073 16.07193 15.96938 14.15563 14.70463 14.70703 14.66484
53.13141 -27.81500 14.89345 15.57634 15.54561 15.48426 11.72816 12.32182 12.31111 12.26913
53.13763 -27.81486   nan   nan   nan   nan   nan   nan   nan   nan
53.15789 -27.81481 17.63025 18.15662 18.01819 17.86346 15.91564 16.03473 16.10618 16.10307
53.17637 -27.81482 18.49770 18.57667 18.40754 18.26505 16.76353 16.76101 16.76386 16.74913
53.17120 -27.81478 12.58952 14.12056 14.05044 13.94102 12.27096 13.50348 13.47569 13.41158
53.12144 -27.81469 18.28893 18.44292 18.47669 18.37565 17.29130 17.64277 17.63295 17.51130
53.12628 -27.81460 17.10184 18.64654 18.32698 18.07760 15.66766 16.64006 16.55844 16.40417
53.13533 -27.81457 17.98150 18.21729 18.23263 18.17081 16.78040 17.10799 17.11140 16.92391
53.13042 -27.81458 17.95070 18.12180 18.07230 17.99787 15.37636 15.69398 15.61096 15.46164
53.15790 -27.81446 20.10880 20.44176 20.21403 19.46943 17.67120 17.62925 17.37166 17.21048
53.16484 -27.81444 18.61317 18.65846 18.59951 18.52146 18.22020 18.48438 17.60443 17.47273
53.11044 -27.81439 17.52012 17.95607 17.89637 17.79667 16.63889 16.59015 16.61512 16.67728
53.13241 -27.81431 17.80683 17.58327 17.57678 17.55136 17.29430 16.37170 16.45268 16.68441
53.16532 -27.81414 13.24807 13.31703 13.32132 13.30196 12.04289 12.08594 12.09981 12.08336
53.11177 -27.81411 16.44899 17.12880 17.07567 16.98133 14.09673 14.70737 14.68588 14.63179
53.14993 -27.81407 13.75328 14.21013 14.18017 14.11755 12.58632 12.84253 12.85118 12.82490
53.11912 -27.81405 17.31981 17.44775 17.45761 17.46315 16.04811 15.99495 16.02066 16.03629
53.18690 -27.81402 16.47691 16.56574 16.53651 16.49101 14.96518 14.95917 14.97897 14.98942
53.15918 -27.81383 16.75663 17.22678 17.19571 17.11794 14.04983 14.34024 14.32830 14.28850
53.14217 -27.81384 18.87767 19.09451 19.05585 19.02283 17.03360 16.87074 16.95855 17.06323
53.17259 -27.81378   nan   nan   nan   nan 20.69637   nan   nan   nan
53.16312 -27.81368 21.41700   nan   nan   nan 17.02414 17.09524 17.36160 17.43865
53.13605 -27.81359 16.07268 16.78473 16.68744 16.59331 14.96675 15.45990 15.44162 15.36844
53.15961 -27.81354   nan   nan   nan 21.31056 17.70814 17.67184 17.64050 17.51789
53.17318 -27.81341   nan   nan   nan 21.80942   nan   nan   nan   nan
53.11483 -27.81323 18.67155 18.84573 18.72177 18.64392 16.24812 16.18872 16.24002 16.40721
53.16819 -27.81300 14.63660 15.04703 15.00907 14.94810 14.39757 14.68716 14.65673 14.60743
53.10414 -27.81282 16.99339 17.32514 17.29616 17.22617 16.58357 16.69163 16.61357 16.61483
53.11371 -27.81280 18.27341 18.25381 18.33980 18.40678 17.53536 17.92997 17.57907 17.35167
53.17441 -27.81279 17.63100 17.83587 17.78557 17.72537 17.14476 17.00796 17.09987 17.10914
53.13431 -27.81270 13.90854 15.15299 15.07652 14.96316 12.56491 13.45873 13.43494 13.37570
53.11736 -27.81268 18.81428 19.55463 19.05385 18.83667 16.64764 16.52682 16.73761 16.81848
53.17934 -27.81260 15.26469 15.32151 15.32492 15.30500 13.86942 13.92340 13.93579 13.92336
53.20057 -27.81255 16.52147 16.96891 16.94090 16.86026 15.69453 15.87154 16.09413 16.13484
53.14626 -27.81236 17.70678 17.77222 17.77420 17.75891 17.43089 19.29464 18.38511 17.73324
53.10183 -27.81235 17.15810 17.96133 17.88723 17.74964 14.09963 14.50483 14.50017 14.43201
53.17228 -27.81205 19.55540 19.29489 19.57410 19.62376   nan   nan   nan 18.97224
53.10916 -27.81189 18.61811 18.53657 18.49318 18.50663 18.25410 18.06843 18.04897 18.06447
53.17994 -27.81183 18.15772 18.34713 18.43362 18.37865 16.34476 16.40498 16.44370 16.43295
53.18224 -27.81177 18.92830 19.04187 19.07623 18.89215   nan   nan   nan   nan
53.16502 -27.81178   nan   nan   nan 21.93617 19.50934   nan 20.38598 20.41513
53.11407 -27.81177 17.64091 17.90229 17.91653 17.85408 16.68330 16.80212 17.09569 17.14581
53.19773 -27.81147 17.93073 18.11053 18.24591 18.14560 16.01066 15.97365 16.02694 16.11593
53.16143 -27.81115 15.69022 15.86992 15.85059 15.80469 14.22678 14.42419 14.40557 14.36215
53.12498 -27.81105 17.24917 17.32019 17.35619 17.35231 17.27893 16.68473 16.94986 17.14491
53.13232 -27.81098 14.24124 14.73397 14.69709 14.62696 14.18789 14.49127 14.50210 14.48881
53.15168 -27.81095 18.26842 18.93711 18.70369 18.46887 16.01287 16.05207 16.13716 16.12884
53.12131 -27.81089 21.25883 20.84896 20.42806 20.21047   nan   nan   nan   nan
53.11882 -27.81090 18.20139 18.19713 18.20565 18.16315 16.57221 16.62108 16.57448 16.55211
53.16433 -27.81089 14.16392 14.44474 14.43028 14.38958 13.26418 13.45663 13.47388 13.44327
53.19677 -27.81086 18.06594 18.06990 18.07691 18.05288 16.43599 16.15057 16.26964 16.30925
53.12083 -27.81059 18.17383 18.64092 18.66027 18.59494 15.99772 16.24074 16.11140 15.99446
53.12842 -27.81057 18.75382 18.69385 18.78225 18.76530 16.50944 16.51363 16.49714 16.50989
53.12161 -27.81049 18.45402 18.48384 18.56790 18.57011   nan   nan   nan   nan
53.16944 -27.81040 17.83409 18.40721 18.28260 18.17731 16.81292 17.18858 17.27950 17.21539
53.11490 -27.81031 17.44518 17.45427 17.43721 17.44235 16.33425 16.41028 16.41447 16.39169
53.12734 -27.81019 16.41313 16.51053 16.51516 16.48053 14.78371 15.00109 14.92819 14.83092
53.10789 -27.80999 19.20349 19.33622 19.22123 19.19645   nan 18.39445   nan   nan
53.20340 -27.80998 17.71953 17.71146 17.76932 17.77948 17.00404 16.78377 17.44827 18.00776
53.14512 -27.80991 13.71216 14.00790 13.99435 13.94946 13.11599 13.31041 13.31525 13.29089
53.17256 -27.80991 19.04465 18.97931 19.01137 19.02703 17.30626 17.17862 17.17390 17.24603
53.17231 -27.80978 20.17091 19.72552 19.90610 19.99748 18.46281 18.03268 18.42974 18.60761
53.11118 -27.80973 18.49594 19.03673 18.89076 18.85683 16.75195 17.45127 17.56898 17.29312
53.11373 -27.80964 17.05979 17.10061 17.08525 17.04536 16.37197 16.31241 16.40706 16.54136
53.19691 -27.80960 19.21480 18.81506 19.10924 19.40882   nan   nan   nan   nan
53.15063 -27.80958 19.48721 19.78449 19.72765 19.45345 18.37776 18.79049 18.51368 18.07163
53.10567 -27.80955   nan   nan 20.78708 20.19436 17.04955 17.18142 17.44735 17.74821
53.15105 -27.80952 14.75230 15.04955 15.01818 14.95692 14.96901 15.11657 15.13299 15.09627
53.14681 -27.80949 19.04553 19.01653 19.03619 19.23069 18.27575 17.98396 17.93066 18.87236
53.15489 -27.80949 15.10517 15.66670 15.62409 15.55323 11.93511 12.33195 12.32329 12.28468
53.13829 -27.80939 17.77593 17.77977 17.81341 17.79600 15.29356 15.23066 15.26199 15.27604
53.12155 -27.80929 14.97299 16.13770 16.06783 15.95641 14.45164 15.05614 15.10913 15.10925
53.13149 -27.80916 18.51479 18.62202 18.56931 18.53744 17.10597 17.06768 17.19646 17.21627
53.13240 -27.80914 18.30147 18.41352 18.42303 18.39962 17.67816 19.18010 18.57279 17.68322
53.16324 -27.80906 16.81956 16.87206 16.87267 16.87085 16.19271 15.92855 16.00749 16.16306
53.15368 -27.80901 19.09628 19.06088 19.00913 18.85982   nan   nan   nan 19.34777
53.12882 -27.80902 17.25592 18.02314 17.90886 17.81944 14.44523 14.83017 14.81409 14.80132
53.12675 -27.80893 17.63702 18.02072 17.94857 17.80927 15.09896 15.04991 15.10388 15.09605
53.15716 -27.80888 18.54143 18.55556 18.58954 18.56443 16.79245 17.03623 16.94730 16.77168
53.13483 -27.80886 18.72796 18.69634 18.75930 18.70552 20.13437 18.71675 21.52268   nan
53.14897 -27.80882 19.67554 19.79224 19.63873 19.55902 18.05454 18.56507 18.69534 18.80760
53.13186 -27.80879   nan   nan 21.35164 20.41205   nan   nan   nan 19.56329
53.13777 -27.80862 17.05156 17.36053 17.28874 17.20209 15.71021 15.85136 15.83165 15.77330
53.14594 -27.80860 19.64058 19.43825 19.38211 19.43324   nan   nan   nan   nan
53.10596 -27.80847 16.37780 16.98531 16.93938 16.88967 14.01130 14.21463 14.22670 14.20362
53.13107 -27.80850 17.24900 17.31602 17.32372 17.30032 16.51982 16.22133 16.25636 16.27226
53.12011 -27.80833 14.16853 15.07668 15.01672 14.91810 10.98048 11.68699 11.66853 11.61491
53.17369 -27.80831 17.98399 18.03736 18.02370 17.97665 15.03860 15.08103 15.09489 15.11712
53.16831 -27.80830 19.96966 20.06746 20.92208 21.89129 17.36944 17.43681 17.51446 17.56973
53.13755 -27.80825 17.60760 18.15796 18.06063 17.94036 16.31732 16.22030 16.25554 16.25314
53.16002 -27.80813 18.70371 19.01633 18.99166 19.08985 16.55211 16.51893 16.73662 16.85572
53.17487 -27.80804 18.33197 18.37247 18.28427 18.22366 16.90036 16.88988 17.08213 17.16371
53.10605 -27.80803 15.61763 15.83453 15.82449 15.78475 13.54907 13.70527 13.69778 13.67211
53.16477 -27.80800 18.51865 18.89617 18.79944 18.73947 17.44473 17.64182 17.58940 17.74863
53.18610 -27.80795   nan   nan   nan   nan   nan   nan   nan   nan
53.19857 -27.80766 22.21844   nan 21.44704 20.08564   nan   nan   nan   nan
53.16155 -27.80758 17.37308 17.37363 17.37695 17.38814 15.94550 16.02583 16.07523 16.04197
53.19745 -27.80755 17.92768 17.88972 17.95397 17.82881 15.29186 15.25200 15.28172 15.27671
53.11869 -27.80745 12.91124 13.18356 13.17001 13.12540 11.53876 11.75573 11.76142 11.73757
53.11054 -27.80746 18.97386 19.19832 19.08860 19.02866   nan   nan   nan 21.71065
53.19574 -27.80724 18.41654 18.83718 18.63006 18.49356 17.11210 16.52013 16.92173 17.22364
53.11620 -27.80726 18.78334 18.72977 18.78763 18.96274   nan   nan   nan   nan
53.11486 -27.80713 17.51925 17.87197 17.82977 17.78148 15.56592 15.60897 15.63491 15.69235
53.16594 -27.80709 19.90149 19.83057 20.03197 20.63654   nan   nan   nan   nan
53.11328 -27.80704 18.21729 18.20788 18.21858 18.25411 16.79461 17.10563 17.03435 16.92029
53.17399 -27.80698 15.56982 15.63405 15.63211 15.60728 13.36915 13.38628 13.40451 13.39400
53.11023 -27.80691 19.20075 18.95213 19.13340 19.27092 17.44304 17.46252 17.50227 17.56351
53.11654 -27.80682 16.94041 17.05892 17.04696 17.01721 15.75907 15.91256 15.92335 15.98021
53.20415 -27.80680 22.82075 20.32164   nan   nan 17.01916 16.49348 16.69274 16.78740
53.17053 -27.80669 17.85715 17.97518 18.00545 17.96441 17.07735 17.54509 17.42827 17.09048
53.14611 -27.80652 16.79114 17.46259 17.39131 17.29656 15.54280 16.21204 16.05959 15.91828
53.15477 -27.80652 18.84049 18.81995 19.00605 19.35627 19.92726 19.77822 20.49704   nan
53.17324 -27.80622 19.13614 19.58151 19.59301 19.48501 16.47798 16.39913 16.55573 16.66577
53.16116 -27.80615 18.68912 18.60455 18.66300 18.73975 16.79342 16.57230 16.61648 16.72130
53.17220 -27.80593 17.08176 18.13805 17.98976 17.79740 15.80303 17.28738 16.88527 16.64409
53.11527 -27.80589 19.90903 19.87061 19.71389 19.43153   nan   nan   nan 18.75953
53.14167 -27.80585 19.37536 19.60996 19.92758 19.95322   nan 19.27432 18.78334 18.75135
53.13035 -27.80569 14.29683 15.01876 14.96026 14.86806 14.07388 14.47209 14.49144 14.45644
53.15121 -27.80566 18.59697 18.60361 18.68332 18.78081 16.87803 16.98705 17.28983 17.71965
53.16223 -27.80553 18.97655 19.14174 19.05848 18.87460   nan   nan   nan   nan
53.18517 -27.80535 12.49393 13.04165 13.00184 12.92423 11.92501 12.18526 12.17363 12.14697
53.11847 -27.80538 18.67871 19.00576 19.03982 19.07513 16.70832 16.72843 16.83394 16.82711
53.11184 -27.80532 13.83628 14.20306 14.17684 14.12033 13.80389 14.05737 14.05297 14.02189
53.15245 -27.80528   nan   nan   nan   nan 20.85533   nan 19.68207 18.08572
53.11550 -27.80521 19.66307 19.55754 19.46396 19.39030 18.48702 17.44175 17.82296 17.51789
53.20059 -27.80498 18.32481 18.40316 18.25100 18.21981 16.65895 16.58103 16.45590 16.45333
53.11620 -27.80492 18.63948 18.85535 18.55281 18.42531 17.27640 17.19237 17.27309 17.21905
53.14969 -27.80487 17.36031 17.81364 17.78117 17.69754 14.83159 15.34065 15.36221 15.31855
53.17077 -27.80475 17.50763 18.02439 18.01484 17.93593 14.87198 15.07442 15.07840 15.03879
53.12693 -27.80469 16.53870 16.60061 16.64769 16.65859 15.15257 15.33366 15.36180 15.33720
53.17174 -27.80463 18.75299 19.03582 18.90228 18.83017 16.80337 17.63220 17.16460 16.93222
53.14877 -27.80437 17.90889 18.02511 17.90494 17.82312 17.09733 17.07755 17.12738 17.15361
53.16674 -27.80427 18.79847 18.77268 18.73961 18.68217 16.93795 16.81220 16.66294 16.62234
53.14165 -27.80415 16.02515 16.14805 16.14302 16.13135 14.72144 14.79579 14.83095 14.82316
53.10993 -27.80413 20.74503 20.68436 20.45144 20.33072 17.49283 17.09107 18.24766   nan
53.15449 -27.80409 16.81605 17.03444 17.05860 17.01246 14.09538 14.18546 14.18681 14.16080
53.14076 -27.80406 16.60652 16.65775 16.64668 16.61607 15.42675 15.33582 15.40379 15.43813
53.16907 -27.80379 20.37446 20.28050 20.52353 20.09612 17.40941 17.48043 17.34526 17.27071
53.15359 -27.80370 19.88014 19.85574 20.13850 21.26012 17.91927 18.52708 18.60278 18.21790
53.18666 -27.80373 18.70469 18.70650 18.77271 18.64255   nan   nan   nan   nan
53.19077 -27.80365 14.82756 15.17324 15.14655 15.09980 13.73580 13.86328 13.83753 13.80943
53.12418 -27.80357 19.02812 19.19693 19.15154 19.10457 17.43241 17.55326 17.66461 17.81194
53.12313 -27.80346 16.55853 16.67652 16.65399 16.60796 15.43153 15.55914 15.54755 15.50705
53.11589 -27.80345 18.35545 18.32637 18.40390 18.39240 16.33794 16.20754 16.37947 16.36137
53.12079 -27.80339 19.28857 19.34737 19.36800 19.40754 17.18187 17.10317 17.20491 17.38088
53.14987 -27.80337 15.86802 16.48324 16.46660 16.40568 14.89904 15.19759 15.24545 15.25315
53.16421 -27.80281 19.20018 19.31200 19.19696 19.01863 16.88654 17.21405 17.07477 16.92801
53.17869 -27.80270 15.59010 15.83472 15.81334 15.77224 13.94207 14.19806 14.19334 14.14783
53.13551 -27.80264 18.32706 18.32683 18.32635 18.32608   nan   nan 20.80482 19.60416
53.14899 -27.80258 17.96115 17.92446 17.98116 18.01541 16.80158 17.01514 16.78695 16.67260
53.11902 -27.80252 22.23905   nan   nan   nan 17.53225 18.01807 17.93241 17.75938
53.18608 -27.80223 18.87736 19.37667 19.16457 18.88888 15.94199 16.28884 16.18301 16.09160
53.13779 -27.80216 16.77222 17.14124 17.12603 17.07144 16.57448 16.86715 17.00119 16.97371
53.11806 -27.80213 15.61064 15.67579 15.68530 15.67274 15.44878 16.22847 16.15636 16.06397
53.18828 -27.80193 17.27675 17.27436 17.28633 17.26820 15.04694 15.01561 15.06182 15.04009
53.18165 -27.80138 14.41543 14.88148 14.85172 14.78666 13.45956 13.87275 13.86430 13.81475
53.14976 -27.80126 16.09229 16.25416 16.26094 16.22405 13.83145 13.86840 13.89902 13.89363
53.14245 -27.80097 18.83364 18.78825 18.85085 18.95931 17.88584 17.47414 17.19110 17.05994
53.12694 -27.80091 19.09367 19.45017 19.18059 18.94235   nan   nan   nan   nan
53.11087 -27.80064 17.93857 18.95962 18.41726 18.24353 14.89223 15.42999 15.28143 15.14530
53.14161 -27.80064 18.64024 18.85656 18.78250 18.64111   nan   nan   nan   nan
53.15046 -27.80062   nan   nan   nan   nan   nan   nan   nan   nan
53.15258 -27.80042 17.44489 17.80014 17.74549 17.69100 16.11773 16.48157 16.38592 16.33414
53.17418 -27.80036 17.20188 17.16694 17.10743 17.02512 15.05361 15.02569 15.00458 15.01327
53.19459 -27.80028 18.17000 18.21018 18.40858 18.65357 16.95928 16.90314 16.83157 16.81248
53.12253 -27.80022 16.09385 16.28400 16.27641 16.23833 13.74201 13.80066 13.82664 13.81352
53.16988 -27.80020 17.97788 17.98878 17.98568 17.96155 17.39158   nan 17.43846 16.87227
53.11894 -27.80010 18.72445 19.50330 19.25674 18.97685 17.25351 17.93839 17.48087 17.17496
53.14496 -27.79994 17.80514 17.81918 17.88290 17.89785 16.61852 16.61971 16.73544 16.81917
53.13767 -27.79993 16.97671 17.42126 17.40121 17.31574 17.41929 19.74210 19.75859 18.24836
53.16818 -27.79991 17.87567 17.93859 17.94502 17.86110 16.22765 16.32737 16.28976 16.25963
53.15146 -27.79984 18.98790 19.04511 19.13960 19.30419   nan   nan   nan   nan
53.14791 -27.79977 19.80078 19.73308 19.84812 20.19395   nan   nan   nan   nan
53.11115 -27.79970 13.99853 14.67922 14.61880 14.52044 12.89774 13.23823 13.23151 13.18647
53.11677 -27.79970 18.72311 18.66434 18.85556 19.04323 16.97547 16.99136 17.24582 17.58919
53.12954 -27.79965 15.42460 15.62127 15.60859 15.56950 13.58986 13.78039 13.77224 13.73312
53.16344 -27.79962 15.88482 16.24225 16.22398 16.18017 15.17286 15.61555 15.64676 15.64600
53.15158 -27.79967 18.81660 18.85553 18.91630 18.95606 17.40912 18.34913 18.21089 17.83215
53.12620 -27.79962 16.02228 16.13584 16.14074 16.10988 12.90181 13.00721 13.00937 12.97850
53.14125 -27.79964 21.35400 20.28934 19.62607 19.54787   nan   nan   nan   nan
53.13136 -27.79960   nan   nan   nan 21.44487   nan   nan   nan   nan
53.18743 -27.79954 18.92065 18.78254 18.76343 18.95132   nan   nan   nan   nan
53.13862 -27.79954 18.73745 18.69357 18.65490 18.77433   nan   nan   nan   nan
53.19690 -27.79951 18.31467 18.19905 18.18852 18.12684   nan   nan   nan   nan
53.17331 -27.79931 17.61221 17.68562 17.64734 17.59394 15.66621 15.62836 15.57255 15.55007
53.12478 -27.79929 13.35126 14.04058 13.99352 13.91260 12.08678 12.58951 12.57823 12.53317
53.12535 -27.79930 23.35748 20.93637 20.40701 20.17213   nan 19.37691 18.32757 17.75714
53.12980 -27.79921 18.98222 18.90776 19.09973 19.15561 17.14644 17.76756 17.11107 16.75067
53.14050 -27.79913 17.61999 17.77721 17.74775 17.64504 16.13862 16.21968 16.21370 16.18792
53.15764 -27.79908 17.49463 18.31643 18.37303 18.38926 15.95478 16.17829 16.21899 16.25964
53.20037 -27.79901 17.47248 18.11622 18.09092 17.97876 17.86187   nan   nan   nan
53.15636 -27.79904 17.17325 17.23909 17.23151 17.18280 15.53238 15.61332 15.56370 15.53274
53.14560 -27.79897 16.78600 16.96875 16.93108 16.89034 14.85663 14.91528 14.90186 14.86785
53.12025 -27.79893 15.37261 16.28067 16.20790 16.09493 13.15617 13.78667 13.75860 13.70247
53.16696 -27.79882 13.78932 14.80506 14.77138 14.69977 11.18718 11.95638 11.93862 11.88651
53.11989 -27.79881 13.75424 14.27878 14.23212 14.15369 12.35519 12.73555 12.72384 12.68038
53.15123 -27.79878 18.46354 18.70824 18.67100 18.65366 16.47827 16.62679 16.51378 16.47155
53.17898 -27.79874 17.60730 17.51190 17.47709 17.45900 17.26220 17.10491 17.13973 17.62497
53.20711 -27.79860   nan   nan   nan   nan   nan   nan   nan   nan
53.15730 -27.79851 17.38892 17.71782 17.67014 17.58950 16.10086 16.34124 16.25341 16.17186
53.14799 -27.79836 20.93616   nan   nan   nan 16.80989 17.12115 17.18160 17.25476
53.18643 -27.79819 17.85672 18.29843 18.22014 18.11490 16.86774 16.59807 16.87712 16.93044
53.18775 -27.79812 16.42422 16.56033 16.55667 16.52525 15.11292 15.22725 15.21989 15.15751
53.16792 -27.79803 18.86734 19.35399 19.01926 18.79567   nan   nan   nan   nan
53.13867 -27.79795 16.77220 16.74329 16.75541 16.75736 13.81190 13.89256 13.89055 13.86974
53.16842 -27.79795 17.78588 17.87657 17.86385 17.81017 16.30353 16.26579 16.28964 16.25335
53.19853 -27.79793 18.86961 18.66402 18.91336 19.21569   nan   nan   nan   nan
53.19237 -27.79792 18.11488 18.10621 18.06120 17.99032   nan   nan   nan   nan
53.17136 -27.79787 20.87072 21.46392 21.19108 20.89965   nan   nan   nan   nan
53.16690 -27.79778 19.02826 20.42239 19.92117 19.25025 17.10452   nan   nan 17.91961
53.13573 -27.79777 17.70650 17.93988 17.80115 17.71360 17.03001 16.98436 17.05317 17.01415
53.16302 -27.79773 17.41673 17.54654 17.57360 17.57552 16.03195 15.95147 16.09346 16.23012
53.20558 -27.79770   nan   nan   nan   nan   nan   nan   nan   nan
53.14033 -27.79759 17.08105 17.27622 17.32237 17.28128 16.39671 16.26139 16.25115 16.25143
53.13449 -27.79762 17.49872 17.49129 17.50239 17.50060 16.76387 16.74874 16.71029 16.84097
53.15785 -27.79758 16.36458 16.99103 16.93755 16.84801 15.83804 15.84206 15.92739 15.94857
53.14206 -27.79750   nan   nan   nan   nan 17.24036 17.26504 17.29801 17.41050
53.17369 -27.79746 18.54712 18.83105 18.76149 18.58143   nan   nan 18.24177 18.08668
53.15181 -27.79746 18.36395 19.03021 19.00787 19.02853 19.61688 23.52761 18.76888 18.63545
53.15883 -27.79722 16.69279 16.96583 16.97019 16.95659 15.59638 15.43464 15.49356 15.52013
53.16971 -27.79709 16.25421 16.42776 16.41803 16.39072 13.54043 13.66048 13.66654 13.65362
53.17212 -27.79704 18.67898 18.57071 18.65746 18.80211   nan   nan   nan   nan
53.11930 -27.79705 16.64451 16.93845 16.84193 16.74387 16.41025 16.66133 16.50096 16.44940
53.19803 -27.79680 17.89230 18.41148 18.28925 18.17547 17.36033   nan 19.25209 17.77145
53.17322 -27.79676 18.70401 19.68367 19.27489 19.06135 16.41305 17.13569 16.50175 16.32360
53.14099 -27.79672 14.72655 15.68318 15.60815 15.50259 14.50974 15.13408 15.10505 15.06534
53.18380 -27.79652 18.65881 18.50108 18.41733 18.33992 16.63704 16.25324 16.24434 16.33338
53.15167 -27.79650 16.89931 18.07888 17.89629 17.77248 14.07791 15.03755 14.97381 14.91397
53.19687 -27.79641 18.88452 18.88291 18.86243 18.70116 18.48273   nan 21.11179 21.13273
53.17253 -27.79642 15.70373 16.60101 16.52929 16.42934 15.54572 16.55980 16.41153 16.27487
53.17380 -27.79641 17.90997 17.81953 17.85035 17.87210   nan   nan   nan   nan
53.17622 -27.79620 11.91337 13.47963 13.37889 13.23527 11.83117 12.99773 12.95789 12.87994
53.14834 -27.79602   nan   nan   nan   nan   nan   nan   nan   nan
53.16135 -27.79587 17.30213 17.40842 17.45127 17.41448 15.52592 15.83070 15.77683 15.64141
53.15050 -27.79577 19.61243 19.63847 20.01504 20.17226 20.26377 19.68320   nan   nan
53.15271 -27.79571   nan   nan   nan   nan   nan 20.98333   nan   nan
53.19937 -27.79568 17.95842 17.88845 17.90809 17.91718 16.22393 15.95976 16.18438 16.33142
53.14062 -27.79569 16.37753 16.59671 16.59779 16.55427 13.21306 13.40223 13.38927 13.35073
53.15671 -27.79560 13.38674 14.61563 14.53580 14.41926 12.28096 13.04371 13.02841 12.97868
53.13777 -27.79563 17.50395 17.58646 17.53870 17.48422 16.08785 16.11656 16.18013 16.19872
53.11658 -27.79550 19.21310 18.71812 18.69788 18.84201   nan   nan   nan   nan
53.18074 -27.79548 17.34823 17.87742 17.86130 17.78407 16.00187 15.77639 15.78859 15.81406
53.14225 -27.79548 16.26853 17.18427 17.07139 16.91934 14.07480 14.36571 14.35510 14.31381
53.17465 -27.79545 18.72754 18.57116 18.81030 19.03899 16.72119 16.80996 16.85911 17.13683
53.12427 -27.79544 18.21260 18.47351 18.45405 18.39723 17.70653 16.40957 16.73464 17.06056
53.16748 -27.79525 19.13981 18.62179 18.80829 19.02742 16.22950 16.05144 16.09414 16.19233
53.12780 -27.79515 17.86118 18.26530 18.21032 18.17917 16.44601 17.07482 16.82658 16.77514
53.15842 -27.79499 16.67773 16.75225 16.73018 16.70850 17.01560 18.03160 17.21824 17.01038
53.15588 -27.79497 15.58094 16.23846 16.17963 16.08154 15.69290 16.02676 16.04961 15.91715
53.12234 -27.79497 16.51010 16.59921 16.58428 16.55331 15.02647 15.15190 15.10631 15.07389
53.12788 -27.79487 16.39620 17.16731 17.06858 16.93430 15.88664 16.77897 16.54948 16.23993
53.12142 -27.79491 18.87650 18.78047 18.74242 18.85917   nan   nan 19.25010 19.36337
53.14196 -27.79484 19.06830 19.10751 19.20074 19.50411 17.43923 17.33065 17.56530 18.16190
53.21031 -27.79469   nan   nan   nan   nan   nan   nan   nan   nan
53.17524 -27.79467 18.44555 19.40500 19.07107 18.89775 17.54673   nan   nan   nan
53.16931 -27.79450   nan   nan   nan   nan   nan   nan   nan   nan
53.18359 -27.79448 18.47031 18.54930 18.42185 18.37354 18.21452 17.69691 17.70691 18.15295
53.12650 -27.79436 18.21768 19.25728 19.02488 18.68609   nan   nan   nan   nan
53.15665 -27.79437 18.22764 18.25115 18.21115 18.16059 20.05302 18.99737 17.97301 17.64768
53.17415 -27.79406 16.87822 17.08452 17.11732 17.06968 14.65903 14.78937 14.78165 14.77191
53.17244 -27.79398 21.36159   nan   nan   nan 18.27885 22.72692 20.15309 18.31627
53.16623 -27.79402 17.91088 18.63472 18.46454 18.21468   nan   nan   nan   nan
53.12715 -27.79393 17.86436 18.02370 17.98446 17.87159 16.06993 16.02667 16.08487 16.02673
53.15260 -27.79391 19.60949 18.75742 18.93308 19.06704 17.37675 18.10750 17.61383 17.36550
53.15024 -27.79390 18.08458 18.07112 18.11712 18.12078 18.42246 17.74463 18.36130 19.12361
53.14743 -27.79383 16.58151 16.69732 16.69507 16.66458 17.03486 17.05633 16.79180 16.70506
53.16509 -27.79373 20.10308 19.94721 20.33133 20.04467   nan   nan   nan   nan
53.16361 -27.79360 18.97735 19.05928 18.79354 18.54625   nan   nan   nan   nan
53.19862 -27.79342 19.14352 19.19536 19.27510 19.28317 16.99466 16.92782 16.62043 16.52127
53.19388 -27.79336 15.10359 15.43924 15.41089 15.35777 14.02557 14.19707 14.21886 14.17718
53.17273 -27.79333 27.17051 20.51735 19.64744 19.61316 22.87179 18.57269 17.63580 17.15415
53.14916 -27.79306 15.74286 15.88718 15.88551 15.86351 14.72120 14.81305 14.79389 14.77939
53.12477 -27.79304 18.73990 18.71183 18.69040 18.58926 20.68298   nan   nan 18.79601
53.17134 -27.79302 17.30844 17.46379 17.42567 17.36915 17.02402 17.62621 17.73818 17.83385
53.13134 -27.79302 18.24495 18.24875 18.48938 18.56562 18.05707 18.14808 18.44801 17.99415
53.16128 -27.79294 17.55344 17.80674 17.71490 17.61170 16.40589 17.03037 17.17708 17.01303
53.12162 -27.79288 17.55797 17.84444 17.85969 17.82070 16.37262 16.33340 16.46950 16.54335
53.17812 -27.79281 13.78869 14.09678 14.07589 14.02900 12.27440 12.42721 12.43266 12.41270
53.16796 -27.79279 19.97571 20.26843 19.77722 19.37914   nan   nan   nan   nan
53.18419 -27.79272 12.85890 13.10236 13.09227 13.05307 11.70487 11.87502 11.87978 11.85308
53.16759 -27.79258 15.41976 16.10729 16.05654 15.98406 15.40556 15.86528 15.81645 15.81166
53.15229 -27.79257 17.16244 17.28136 17.28885 17.24768 15.28264 15.42705 15.40195 15.33840
