#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F150W2 F322W2 F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M    Mact
 1   9.03 -0.07  0.06798 -3.956 3.285  5.315  9.40  0.040 0.00 24.061 27.767 24.625 22.655 21.806 21.178 20.745 19.857 19.722 21.729 20.260 22.473 21.137 21.472 20.890 20.895 20.567 20.038 19.748 19.645 19.740 19.812 19.754  0.068 
 1   9.03  0.01  0.17700 -2.389 3.521  5.105  8.40  0.039 0.00 19.143 19.457 18.158 17.462 16.944 16.643 16.581 16.202 16.103 16.997 16.396 17.100 16.704 16.705 16.566 16.616 16.553 16.296 16.139 16.045 16.072 16.168 16.152  0.177 
 1   9.03  0.09  0.08685 -3.344 3.406  5.291  9.70  0.040 0.00 22.829 24.599 22.100 20.920 20.512 20.210 20.176 19.344 19.254 20.493 19.727 20.897 20.032 20.386 20.000 20.228 20.070 19.520 19.231 19.138 19.242 19.396 19.351  0.087 
 1   9.05 -0.01  0.42460 -1.568 3.582  4.907  7.40  0.035 0.93 15.425 15.356 14.422 13.846 13.285 13.002 13.020 12.749 12.681 13.365 12.890 13.447 13.055 13.038 12.955 13.048 13.008 12.823 12.698 12.625 12.658 12.745 12.738  0.425 
 1   9.05 -0.01  0.01516 -4.559 3.071  4.408  8.30  0.038 0.00 24.469 36.051 31.496 28.036 24.969 22.403 20.620 19.304 18.920 23.535 19.837 25.794 24.186 23.106 21.968 21.024 20.245 19.582 19.164 18.926 19.097 18.837 18.825  0.015 
 1   9.05  0.23  3.03646 -2.777 4.036  8.138 10.20  0.040 0.00 21.913 22.350 22.407 22.429 22.441 22.465 22.473 22.479 22.484 22.441 22.475 22.438 22.451 22.466 22.464 22.466 22.476 22.479 22.480 22.482 22.483 22.488 22.486  0.678 
 1   9.05  0.35  0.14907 -2.613 3.489  5.125  6.60  0.031 0.00 17.902 18.496 16.944 16.152 15.664 15.362 15.281 14.811 14.703 15.699 15.046 15.851 15.382 15.445 15.261 15.316 15.241 14.923 14.738 14.638 14.674 14.780 14.758  0.149 
 1   9.07 -0.31  0.01723 -4.807 3.021  4.513  5.10  0.021 0.00 21.888 35.746 30.507 26.525 23.001 20.086 18.198 16.803 16.153 21.269 17.346 23.986 22.141 20.916 19.598 18.739 17.718 17.422 16.671 16.135 16.332 16.160 16.039  0.017 
 1   9.07 -0.09  0.22999 -2.108 3.552  5.061  9.90  0.040 0.81 19.414 19.534 18.429 17.795 17.247 16.934 16.885 16.573 16.492 17.310 16.735 17.392 17.030 16.984 16.871 16.926 16.858 16.649 16.521 16.439 16.463 16.552 16.537  0.230 
 1   9.09  0.07  0.01665 -4.738 3.035  4.484  8.20  0.038 0.00 24.815 38.040 32.995 29.160 25.764 22.943 21.088 19.700 19.131 24.109 20.244 26.703 24.923 23.738 22.470 21.584 20.633 20.230 19.564 19.110 19.303 19.130 19.028  0.017 
 1   9.09  0.17  0.15331 -2.578 3.493  5.122 10.10  0.040 0.76 20.888 21.540 19.943 19.128 18.644 18.342 18.266 17.770 17.664 18.676 18.017 18.841 18.351 18.430 18.235 18.300 18.222 17.887 17.694 17.594 17.635 17.746 17.722  0.153 
 1   9.09  0.19  0.06281 -4.159 3.237  5.290  8.60  0.039 0.00 23.768 28.202 25.137 22.970 21.634 20.666 20.086 19.190 19.032 21.438 19.597 22.275 20.979 21.006 20.368 20.253 19.890 19.361 19.088 18.968 19.042 19.108 19.046  0.063 
 1   9.09  0.35  0.20849 -2.225 3.532  5.057  9.80  0.040 0.00 20.132 20.364 19.144 18.476 17.946 17.638 17.587 17.238 17.147 18.003 17.418 18.096 17.717 17.695 17.569 17.624 17.561 17.324 17.181 17.091 17.116 17.210 17.197  0.208 
 1   9.11 -0.07  0.14972 -2.575 3.501  5.138  9.00  0.039 0.00 20.208 20.674 19.243 18.494 17.984 17.685 17.602 17.174 17.068 18.030 17.390 18.157 17.723 17.759 17.594 17.639 17.564 17.277 17.105 17.008 17.039 17.140 17.117  0.150 
 1   9.11  0.09  0.13320 -2.739 3.480  5.169 10.40  0.040 0.71 21.685 22.510 20.769 19.888 19.420 19.119 19.053 18.486 18.383 19.443 18.764 19.648 19.092 19.223 18.992 19.088 18.998 18.616 18.401 18.303 18.356 18.479 18.450  0.133 
 1   9.11  0.11  0.31346 -1.873 3.558  4.985  6.00  0.027 0.00 15.453 15.512 14.453 13.842 13.288 12.978 12.960 12.667 12.595 13.355 12.820 13.435 13.071 13.022 12.922 12.999 12.940 12.739 12.618 12.540 12.566 12.657 12.648  0.313 
 1   9.11  0.33  0.01794 -4.443 3.091  4.333  9.90  0.040 0.77 25.448 36.397 32.080 28.785 25.825 23.315 21.624 20.316 19.871 24.455 20.844 26.626 25.059 24.015 22.879 22.032 21.238 20.649 20.187 19.864 20.022 19.839 19.779  0.014 
 1   9.13  0.01  0.16273 -2.494 3.508  5.123  9.40  0.040 0.00 20.405 20.824 19.431 18.699 18.192 17.892 17.818 17.406 17.302 18.238 17.614 18.358 17.937 17.961 17.806 17.852 17.784 17.506 17.339 17.242 17.272 17.371 17.352  0.163 
 1   9.13  0.19  0.12239 -2.843 3.467  5.184 13.00  0.040 0.00 24.879 25.714 23.954 23.080 22.611 22.309 22.238 21.684 21.579 22.635 21.957 22.832 22.291 22.409 22.186 22.272 22.187 21.811 21.601 21.501 21.550 21.672 21.644  0.122 
 1   9.15 -0.01  0.19662 -2.257 3.538  5.085  7.80  0.037 0.00 18.212 18.399 17.222 16.569 16.032 15.722 15.673 15.339 15.253 16.091 15.511 16.179 15.809 15.775 15.655 15.712 15.647 15.420 15.284 15.198 15.223 15.315 15.302  0.197 
 1   9.15  0.01  0.12562 -2.796 3.478  5.190 12.60  0.040 0.00 24.360 25.072 23.418 22.586 22.105 21.804 21.728 21.215 21.109 22.136 21.470 22.308 21.805 21.895 21.692 21.762 21.682 21.335 21.136 21.037 21.079 21.195 21.169  0.126 
 1   9.15  0.27  0.09410 -3.188 3.427  5.254 12.50  0.040 0.00 25.241 26.646 24.419 23.357 22.933 22.633 22.599 21.857 21.762 22.929 22.207 23.249 22.514 22.779 22.456 22.639 22.515 22.017 21.753 21.657 21.741 21.889 21.850  0.094 
 1   9.15  0.37  0.63964 -1.051 3.623  4.734 10.10  0.040 0.00 17.498 17.263 16.577 16.060 15.394 15.096 15.112 15.008 15.046 15.506 15.065 15.566 15.167 15.110 15.076 15.155 15.091 15.026 14.991 14.980 15.020 15.135 15.108  0.640 
 1   9.17 -0.17  0.06428 -4.150 3.240  5.304 13.00  0.040 0.92 27.594 32.334 29.263 27.081 25.639 24.524 23.858 22.922 22.754 25.367 23.342 26.272 24.988 24.894 24.214 24.039 23.645 23.094 22.820 22.690 22.761 22.833 22.765  0.064 
 1   9.17  0.03  0.65047 -1.001 3.633  4.730 10.20  0.040 0.00 17.473 17.166 16.572 16.082 15.428 15.140 15.145 15.056 15.087 15.541 15.105 15.598 15.207 15.152 15.122 15.181 15.128 15.072 15.041 15.028 15.062 15.167 15.142  0.650 
 1   9.17  0.17  1.71209  1.045 3.812  3.821  8.90  0.039 0.00 11.059 10.635 10.436 10.255 10.006  9.934  9.916  9.914  9.916 10.078  9.915 10.050  9.949  9.940  9.928  9.921  9.915  9.914  9.914  9.911  9.913  9.919  9.919  1.712 
 1   9.17  0.21  0.48583 -1.433 3.587  4.850 12.70  0.040 0.83 20.523 20.513 19.531 18.938 18.357 18.067 18.091 17.833 17.778 18.440 17.968 18.522 18.123 18.100 18.022 18.121 18.079 17.902 17.785 17.719 17.754 17.847 17.837  0.486 
 1   9.17  0.23  0.66324 -0.992 3.629  4.715  7.90  0.037 0.00 15.150 14.870 14.239 13.738 13.079 12.787 12.796 12.703 12.741 13.192 12.754 13.249 12.856 12.799 12.768 12.837 12.776 12.719 12.689 12.677 12.716 12.826 12.800  0.663 
 1   9.17  0.37  0.10523 -3.015 3.449  5.218  9.10  0.039 0.00 21.407 22.466 20.515 19.565 19.116 18.814 18.759 18.127 18.025 19.128 18.432 19.371 18.757 18.931 18.670 18.794 18.696 18.267 18.034 17.935 17.999 18.133 18.100  0.105 
 1   9.19 -0.15  1.32974  0.624 3.837  4.230  9.60  0.040 0.97 12.147 11.798 11.625 11.467 11.242 11.185 11.170 11.169 11.167 11.310 11.170 11.282 11.193 11.190 11.180 11.172 11.171 11.170 11.168 11.166 11.166 11.165 11.167  1.330 
 1   9.19  0.03  0.18039 -2.373 3.522  5.103  9.10  0.039 0.00 19.804 20.108 18.818 18.125 17.605 17.305 17.244 16.868 16.769 17.659 17.060 17.761 17.367 17.366 17.229 17.279 17.216 16.961 16.806 16.712 16.739 16.834 16.819  0.180 
 1   9.19  0.09  0.42260 -1.579 3.578  4.900  8.50  0.039 0.00 17.217 17.194 16.213 15.624 15.062 14.779 14.798 14.523 14.455 15.141 14.667 15.225 14.831 14.814 14.730 14.827 14.785 14.599 14.472 14.398 14.432 14.520 14.513  0.423 
 1   9.19  0.31  0.07269 -3.823 3.315  5.329  7.90  0.037 0.00 22.226 25.602 22.403 20.615 19.965 19.470 19.146 18.230 18.114 19.905 18.643 20.620 19.302 19.748 19.181 19.279 18.976 18.420 18.114 18.019 18.132 18.224 18.169  0.073 
 1   9.21 -0.11  0.06244 -4.245 3.218  5.297  8.30  0.038 0.00 23.683 28.836 25.758 23.488 21.804 20.593 19.912 18.979 18.811 21.489 19.398 22.434 21.154 20.974 20.280 20.093 19.699 19.149 18.877 18.748 18.817 18.889 18.822  0.062 
 1   9.21 -0.07  0.30821 -1.865 3.566  5.001 12.80  0.040 0.00 22.231 22.221 21.235 20.642 20.087 19.789 19.780 19.495 19.421 20.159 19.644 20.238 19.868 19.831 19.736 19.816 19.762 19.569 19.444 19.367 19.395 19.482 19.472  0.308 
 1   9.21  0.09  0.03587 -4.911 3.036  4.995  4.90  0.020 0.00 21.946 34.713 29.743 25.974 22.629 19.875 18.246 16.872 16.216 21.071 17.408 23.570 21.797 20.683 19.387 18.752 17.761 17.564 16.736 16.172 16.357 16.265 16.148  0.036 
 1   9.21  0.11  0.07305 -3.815 3.317  5.331  7.90  0.037 0.00 22.207 25.554 22.354 20.579 19.943 19.455 19.139 18.221 18.107 19.883 18.635 20.595 19.280 19.732 19.167 19.272 18.971 18.412 18.106 18.011 18.125 18.218 18.163  0.073 
 1   9.21  0.25  0.45266 -1.513 3.580  4.871  8.60  0.039 0.00 17.152 17.166 16.154 15.554 14.978 14.691 14.718 14.454 14.395 15.060 14.592 15.143 14.742 14.724 14.645 14.748 14.707 14.526 14.404 14.335 14.372 14.464 14.455  0.453 
 1   9.23 -0.15  0.04030 -4.766 3.076  5.061  8.90  0.039 0.00 25.585 36.641 32.171 28.790 25.774 23.279 21.804 20.455 20.024 24.433 20.992 26.600 24.997 23.994 22.830 22.196 21.382 20.922 20.299 19.956 20.183 20.064 20.027  0.040 
 1   9.23 -0.15  0.04200 -4.742 3.084  5.086  9.00  0.039 0.00 25.626 36.355 31.975 28.666 25.711 23.267 21.834 20.496 20.088 24.416 21.031 26.517 24.945 23.967 22.824 22.211 21.423 20.933 20.347 20.017 20.222 20.140 20.089  0.042 
 1   9.23  0.33  0.15032 -2.602 3.490  5.123  9.50  0.040 0.00 20.776 21.365 19.821 19.031 18.541 18.239 18.157 17.690 17.582 18.577 17.924 18.727 18.261 18.321 18.138 18.192 18.117 17.802 17.617 17.517 17.553 17.659 17.637  0.150 
 1   9.25  0.07  0.01221 -4.307 3.114  4.234  9.50  0.040 0.00 25.039 34.518 30.521 27.498 24.805 22.560 21.133 19.910 19.623 23.677 20.419 25.521 24.091 23.179 22.157 21.443 20.816 20.132 19.793 19.593 19.698 19.636 19.579  0.012 
 1   9.27 -0.21  0.71973 -0.739 3.672  4.670  8.90  0.039 0.00 15.517 15.103 14.643 14.228 13.650 13.412 13.389 13.358 13.396 13.765 13.375 13.790 13.470 13.419 13.402 13.422 13.371 13.361 13.355 13.350 13.376 13.457 13.438  0.720 
 1   9.27 -0.17  0.80966 -0.500 3.706  4.616 10.60  0.040 0.96 15.962 15.507 15.110 14.749 14.244 14.048 14.023 14.002 14.035 14.354 14.014 14.360 14.093 14.053 14.039 14.052 14.008 14.004 14.001 13.997 14.019 14.084 14.070  0.810 
 1   9.27 -0.13  0.06617 -4.139 3.245  5.321  9.50  0.040 0.00 24.616 28.810 25.752 23.625 22.406 21.521 20.972 20.088 19.934 22.248 20.491 23.046 21.754 21.846 21.229 21.135 20.781 20.257 19.986 19.870 19.944 20.010 19.948  0.066 
 1   9.27 -0.05  0.08262 -3.475 3.387  5.323  9.80  0.040 0.00 23.258 25.386 22.646 21.349 20.936 20.624 20.559 19.671 19.581 20.908 20.074 21.391 20.404 20.827 20.386 20.628 20.434 19.856 19.553 19.462 19.578 19.726 19.677  0.083 
 1   9.27 -0.01  0.11989 -2.844 3.474  5.202 10.00  0.040 0.94 21.209 21.996 20.277 19.419 18.943 18.643 18.572 18.031 17.927 18.971 18.298 19.157 18.631 18.740 18.524 18.607 18.522 18.155 17.949 17.850 17.897 18.018 17.990  0.120 
 1   9.27  0.13  0.07022 -3.972 3.284  5.339 12.90  0.040 0.00 27.600 31.320 28.188 26.209 25.343 24.711 24.271 23.385 23.250 25.267 23.788 26.007 24.677 25.003 24.423 24.422 24.092 23.564 23.276 23.174 23.267 23.339 23.281  0.070 
 1   9.29 -0.35  0.06028 -4.396 3.183  5.292  8.20  0.038 0.76 23.541 30.500 27.211 24.722 22.482 20.711 19.701 18.559 18.295 21.776 19.043 23.120 21.822 21.221 20.343 19.958 19.397 18.816 18.441 18.224 18.337 18.376 18.300  0.060 
 1   9.29 -0.29  0.40761 -1.556 3.594  4.927  9.30  0.040 0.87 17.384 17.186 16.408 15.869 15.293 15.012 15.025 14.786 14.727 15.380 14.912 15.454 15.070 15.044 14.969 15.047 15.019 14.850 14.738 14.676 14.706 14.790 14.778  0.408 
 1   9.29 -0.21  0.09424 -3.174 3.440  5.293  7.60  0.036 0.97 19.619 20.856 18.766 17.758 17.307 17.021 16.981 16.279 16.186 17.321 16.613 17.597 16.917 17.153 16.857 17.024 16.899 16.428 16.180 16.087 16.163 16.310 16.268  0.094 
 1   9.29 -0.17  0.34263 -1.759 3.578  4.988  9.80  0.040 0.74 18.482 18.412 17.489 16.910 16.355 16.064 16.058 15.780 15.705 16.430 15.925 16.508 16.134 16.105 16.012 16.090 16.041 15.854 15.729 15.654 15.682 15.765 15.755  0.343 
 1   9.29 -0.09  0.96044 -0.153 3.748  4.514 10.40  0.040 0.00 15.554 15.083 14.774 14.498 14.107 13.974 13.951 13.942 13.961 14.205 13.947 14.190 14.000 13.978 13.967 13.966 13.945 13.943 13.941 13.939 13.951 13.987 13.981  0.960 
 1   9.29 -0.03  0.15073 -2.572 3.500  5.135 11.60  0.040 0.00 22.800 23.282 21.834 21.081 20.577 20.277 20.195 19.763 19.656 20.621 19.981 20.750 20.314 20.352 20.186 20.231 20.158 19.867 19.694 19.596 19.627 19.728 19.707  0.151 
 1   9.29 -0.03  0.22276 -2.143 3.547  5.063 13.20  0.040 0.00 23.328 23.449 22.341 21.710 21.161 20.843 20.800 20.493 20.416 21.224 20.653 21.304 20.947 20.893 20.782 20.842 20.775 20.566 20.443 20.362 20.385 20.476 20.464  0.223 
 1   9.29  0.13  1.39641  0.656 3.809  4.109  7.20  0.035 0.00 10.331  9.905  9.701  9.515  9.255  9.182  9.164  9.163  9.166  9.331  9.164  9.302  9.195  9.187  9.176  9.169  9.164  9.164  9.163  9.161  9.163  9.170  9.170  1.396 
 1   9.29  0.13  0.14603 -2.631 3.489  5.136  8.30  0.038 0.00 19.647 20.242 18.692 17.900 17.410 17.109 17.028 16.559 16.451 17.447 16.794 17.598 17.130 17.191 17.008 17.063 16.988 16.671 16.485 16.386 16.422 16.529 16.506  0.146 
 1   9.29  0.15  0.08096 -3.492 3.381  5.307  8.90  0.039 0.00 22.400 24.642 21.828 20.494 20.079 19.760 19.680 18.780 18.689 20.046 19.188 20.555 19.531 19.970 19.514 19.754 19.550 18.968 18.661 18.571 18.689 18.832 18.783  0.081 
 1   9.31 -0.47  0.08457 -3.452 3.400  5.362  9.40  0.040 0.00 22.799 24.690 22.104 20.885 20.475 20.178 20.145 19.279 19.194 20.456 19.675 20.884 19.976 20.365 19.956 20.204 20.029 19.460 19.164 19.072 19.184 19.343 19.295  0.085 
 1   9.31 -0.41  0.27762 -1.888 3.581  5.041  9.40  0.040 0.77 18.381 18.230 17.398 16.838 16.283 15.998 15.983 15.713 15.635 16.360 15.854 16.436 16.066 16.039 15.946 16.012 15.968 15.787 15.662 15.589 15.615 15.692 15.678  0.278 
 1   9.31 -0.37  0.21894 -2.101 3.566  5.088 10.20  0.040 0.00 20.222 20.141 19.239 18.657 18.103 17.808 17.773 17.495 17.414 18.176 17.641 18.252 17.888 17.852 17.752 17.809 17.752 17.569 17.444 17.368 17.393 17.469 17.453  0.219 
 1   9.31 -0.23  0.10069 -3.044 3.459  5.267 13.00  0.040 0.00 25.379 26.273 24.471 23.577 23.083 22.803 22.742 22.148 22.051 23.122 22.437 23.319 22.754 22.907 22.670 22.786 22.671 22.275 22.060 21.969 22.025 22.158 22.116  0.101 
 1   9.31 -0.15  0.45873 -1.455 3.596  4.885  8.30  0.038 0.94 16.040 15.857 15.067 14.525 13.933 13.650 13.674 13.447 13.398 14.024 13.567 14.100 13.704 13.678 13.611 13.696 13.669 13.508 13.401 13.344 13.376 13.466 13.453  0.459 
 1   9.31 -0.11  0.04843 -4.717 3.098  5.178  9.40  0.040 0.92 25.238 35.523 31.268 28.054 25.181 22.808 21.434 20.112 19.725 23.951 20.644 25.963 24.430 23.487 22.371 21.792 21.033 20.520 19.971 19.651 19.827 19.795 19.727  0.048 
 1   9.31  0.03  0.24825 -2.054 3.549  5.030  9.40  0.040 0.86 18.707 18.841 17.718 17.084 16.537 16.220 16.179 15.868 15.790 16.599 16.029 16.681 16.321 16.269 16.158 16.221 16.155 15.941 15.817 15.735 15.759 15.851 15.840  0.248 
 1   9.31  0.13  0.06977 -4.015 3.275  5.342  8.10  0.038 0.77 22.655 26.671 23.568 21.546 20.577 19.761 19.141 18.149 17.958 20.423 18.587 21.238 19.913 20.102 19.454 19.331 18.910 18.359 18.036 17.884 17.983 18.045 17.977  0.070 
