SMILES_ID RA Dec FWHM_F560W FWHM_F1500W FWHM_F2100W F1500W F2100W F1500W-F2100W
0.0 53.11644 -27.87666 3.530091536941688 3.8739431749951727 3.914120903571242 12.7009 12.37584 0.32506000000000057
1.0 53.12533 -27.86135 0.8239762498815864 1.3092622516677226 1.9178488376650185 15.27863 15.51389 -0.23526000000000025
2.0 53.07448 -27.84985 2.3680906949495246 2.763253848036317 3.097857500739747 10.18878 9.62558 0.5632000000000001
3.0 53.16177 -27.83236 1.1186591554628256 1.62903432298637 1.9173121817847443 10.88452 10.64468 0.23984000000000094
4.0 53.13114 -27.8293 2.735089940365365 3.287590792413515 3.5292526487348184 11.31425 10.9123 0.40194999999999936
5.0 53.13613 -27.82911 0.8288084358245202 1.4010786928722225 1.6045505146833992 14.92844 14.58962 0.3388200000000001
7.0 53.12079 -27.81905 1.8840085775612592 4.407751919540609 4.110705045676831 11.77681 11.993 -0.216190000000001
8.0 53.14386 -27.81354 4.009800042247444 6.47625 6.165005721831352 11.48396 11.17137 0.31259000000000015
10.0 53.14898 -27.79976 0.7634874542685451 1.4188444079052758 1.8102591224620597 14.6123 13.36717 1.2451299999999996
11.0 53.15547 -27.79157 0.9184071545336638 1.3781984448105034 1.5732337855872407 14.47151 13.52339 0.9481200000000012
12.0 53.18697 -27.79106 1.9221397048665116 2.6215669018349064 2.738204913790212 10.59884 10.2487 0.3501399999999997
13.0 53.13355 -27.77588 0.5389541758783453 0.9212907876726415 1.1577062049969526 14.297 14.60625 -0.3092499999999987
15.0 53.16995 -27.77113 2.9904564076666436 4.2217564045079925 4.1816304940421345 12.73741 11.62876 1.1086500000000008
16.0 53.15499 -27.76898 0.8777221642918448 1.4667975619256248 1.387547833807344 15.05587 15.65454 -0.5986700000000003
17.0 53.13678 -27.76888 1.8207070126532972 2.70154633313902 2.750993735055611 11.34741 10.7639 0.5835100000000004
18.0 53.2096 -27.76853 1.3663705182743286 1.2605810818982757 1.6286854867303786 14.70831 13.96397 0.7443400000000011
20.0 53.19015 -27.76529 2.7116778269710107 2.8062451349724067 2.7413331277237236 13.59797 13.34089 0.2570800000000002
22.0 53.18005 -27.74925 2.159349286941729 3.06218550894664 3.2220318054183466 13.25302 11.94798 1.30504
23.0 53.12711 -27.88677 1.1332873861979864 1.4946787260155079 1.7497487739397368 13.27333 13.35678 -0.08345000000000091
24.0 53.1256 -27.8865 0.7223960628088956 1.0787690131600833 1.393547182395347 15.94618 13.97663 1.96955
26.0 53.12681 -27.88451 0.8483771696222437 1.250912397368668 1.5219370635673084 12.58429 11.23958 1.3447099999999992
27.0 53.12654 -27.88415 0.826603159937865 1.2460317483169403 1.5174916504873868 19.38262 16.16085 3.2217699999999994
30.0 53.12433 -27.8827 0.6531692356659698 0.9655968686580356 1.3200304814906207 14.7966 12.8901 1.9064999999999994
31.0 53.12752 -27.88172 1.1109416137374357 1.430376379032372 1.6882880723806624 13.08549 13.02696 0.058529999999999305
34.0 53.13091 -27.88112 0.6153262169495294 0.9389979147432553 1.4807357330918982 16.71175 14.20517 2.506579999999998
44.0 53.12639 -27.87718 1.2124820691800204 1.7125855693550798 1.9725038232433771 13.27009 12.14242 1.1276700000000002
46.0 53.11732 -27.87631 0.6295432653282861 1.085447259860227 1.3762785896131489 12.74044 12.80721 -0.06677
47.0 53.11969 -27.87561 1.7236417920329872 2.5235311462488954 2.5843921200583506 14.34146 13.13593 1.2055299999999995
50.0 53.13532 -27.87507 0.6161049856578507 1.0590694700736685 1.3440356459116702 17.57924 16.68013 0.8991100000000003
51.0 53.11709 -27.8749 0.7957839289496741 1.092609264547154 1.3028036535733423 16.61032 15.56227 1.0480500000000017
52.0 53.13521 -27.87477 0.6175567719775347 1.0678884806995466 1.338400112373863 15.4769 13.477 1.9999000000000002
54.0 53.13402 -27.87436 0.637404686482281 1.1037972965052592 1.3648857389443556 14.9857 12.98516 2.000539999999999
58.0 53.12074 -27.87396 0.629524006400647 1.1360710703811654 1.455999390829072 16.43946 13.41545 3.0240100000000005
61.0 53.11972 -27.87381 0.521317779984287 1.0044820430214085 1.1899696667289543 20.99687 18.10732 2.88955
62.0 53.11931 -27.8738 0.529899079437241 0.9714991922420145 1.3223550420220627 16.96572 15.1771 1.7886200000000017
67.0 53.12007 -27.87323 0.5818968120527132 0.3264541984963501 0.52217253165312 19.34041 17.74319 1.59722
69.0 53.12072 -27.87304 0.8793602921913509 1.3726877964707587 1.5506260567182102 17.27534 14.4899 2.7854399999999995
72.0 53.10736 -27.87234 1.2521019236104016 1.6484148995386014 1.7635196894636884 13.0981 13.3821 -0.2839999999999989
73.0 53.12023 -27.8723 0.6329566154893269 1.0025660272394479 1.2877927592151195 16.68247 14.96306 1.719409999999998
78.0 53.14662 -27.87103 0.6304803233761225 0.9892821398641712 1.2802373478857179 15.22761 14.01082 1.2167899999999996
85.0 53.13022 -27.87041 0.7064048291783639 0.8003831845921117 0.3164509462088446 17.53693 16.72611 0.8108200000000032
89.0 53.13784 -27.87012 0.6621066805104654 0.960269298964056 1.3048081253678339 14.88261 13.37477 1.5078399999999998
91.0 53.10152 -27.86996 0.5296029476565878 0.9592724487515613 1.2427308582272707 15.23902 13.62294 1.6160800000000002
92.0 53.11332 -27.86995 0.4917126623523496 1.037036327031275 0.47744652311030245 16.63865 17.27022 -0.63157
95.0 53.10745 -27.86934 1.1449973507619036 0.4987183620641001 0.21612858118272432 18.72752 17.44205 1.2854700000000001
97.0 53.10644 -27.86926 1.2916027321908135 1.465827499927884 1.7544446578757973 14.32538 14.10769 0.21768999999999927
99.0 53.10415 -27.86912 0.6179843370221649 1.153089298765218 1.3536657033595685 14.87601 14.68835 0.18766000000000105
101.0 53.1088 -27.86904 0.8446765972908212 1.0870081996301093 1.0714858835717482 16.62166 15.70774 0.9139199999999992
102.0 53.15312 -27.86863 1.1954560729348387 1.5162525471489805 1.7177294018423146 13.58795 12.96409 0.6238599999999987
105.0 53.14019 -27.86847 0.6776222556054073 1.1582534765670731 1.4155897556605075 16.23158 13.17454 3.0570400000000006
107.0 53.15091 -27.86838 0.8805536788772299 1.6945355168101748 1.9086901487613082 13.01776 12.17807 0.8396900000000009
114.0 53.15138 -27.86777 1.155437330412117 1.2067444655805408 1.4767521144990665 19.37455 17.28684 2.0877099999999977
116.0 53.12792 -27.86757 1.2361929418710256 1.2826089844837585 1.3163088102195484 15.92453 15.28293 0.6416000000000004
117.0 53.10617 -27.86753 0.7589198957389978 1.0335209334563786 1.3081531296049873 17.40504 15.92962 1.4754199999999997
124.0 53.12333 -27.86637 0.6600454519408033 1.0037651349923455 1.267304403486634 15.52802 13.93283 1.5951900000000006
126.0 53.12477 -27.8663 0.44897489023022674 0.7668846465487127 0.32477942009747207 17.68104 17.32511 0.35593000000000075
130.0 53.1168 -27.86561 1.2639335083379377 1.8314993677794247 2.0388477544786068 14.17809 12.44485 1.7332399999999986
132.0 53.1222 -27.86545 1.4079132320739463 1.5290646094356433 1.2986143746733798 16.7923 15.46662 1.3256800000000002
134.0 53.10315 -27.8653 0.9493677934452855 1.415683897236448 1.6763024470134622 16.1985 12.99659 3.20191
135.0 53.09468 -27.86517 0.5773174974938874 1.1031479895646936 1.1892694948701257 17.40977 15.98014 1.4296300000000013
136.0 53.10173 -27.8651 0.9419964153321033 1.4937733709427663 1.8325459091734346 13.67417 12.44645 1.2277199999999997
138.0 53.1216 -27.86484 0.4968924967991694 0.9384602005417427 1.2837541975937472 15.27189 13.92551 1.3463800000000017
141.0 53.08938 -27.86447 0.7577571732291282 1.2585462793759188 1.4440532257611092 13.45761 12.89837 0.5592400000000008
143.0 53.13642 -27.86427 0.6052198160288752 1.0400501430591675 1.4844971135203873 14.79638 13.74741 1.0489699999999988
144.0 53.11911 -27.86406 0.7694264121495187 1.158457828090559 0.18589905870384643 17.95777 17.15009 0.8076800000000013
146.0 53.11337 -27.86405 0.7073095150482552 1.0868655940738035 1.5853426228557355 17.38248 15.79274 1.5897400000000008
152.0 53.08616 -27.8634 0.6026476063329438 0.9703424880214584 1.306753921683778 15.29799 13.22129 2.0767000000000007
153.0 53.10848 -27.86331 1.3606033909244746 1.629882287468332 1.940179112338107 15.02967 14.35495 0.6747199999999989
156.0 53.12397 -27.86314 0.655861876402207 1.005912380651391 1.3524229426285672 16.31437 15.3423 0.9720700000000004
157.0 53.14367 -27.86279 1.0007953147225896 1.3036963519244933 1.7027488215294893 14.92336 14.84728 0.07608000000000104
159.0 53.12389 -27.86275 0.64214610735712 0.9543314580811445 1.2910459065987263 14.81694 13.54756 1.26938
160.0 53.12182 -27.86265 0.8261776448169357 1.107924738721398 1.4111694567855269 13.81087 13.63358 0.17728999999999928
