JADES_ID RA Dec FWHM_F200W FWHM_F356W FWHM_F444W F200W F356W F444W F200W-F444W
5.0 53.11399 -27.92341 0.25116679802864206 0.6135903386382339 0.6493253843624281 24.80275 23.81042 23.40738 1.3953699999999998
8.0 53.11228 -27.92274 0.543004356761571 0.8636903560504686 0.9846081416966423 25.31723 24.39831 24.34459 0.9726399999999984
10.0 53.11201 -27.92193 0.1542990193811376 0.4348918617310714 0.3760707911914962 26.90788 25.14099 25.09985 1.8080299999999987
12.0 53.11327 -27.92163 0.1941829384502001 0.40937534437545114 0.4153551246821082 26.35007 25.23188 24.93778 1.4122899999999987
14.0 53.11225 -27.92134 0.1812338527304789 0.4858239217142242 0.5145561177055821 24.81125 23.78292 23.31102 1.500230000000002
16.0 53.11416 -27.92127 0.12913678277563254 0.3886316640009766 0.4347135723561731 26.16897 24.87427 24.83551 1.3334600000000023
17.0 53.1133 -27.92094 0.18659994894259052 0.517672723282979 0.5555451166557921 23.2877 22.14693 21.6648 1.6229000000000013
25.0 53.10799 -27.92025 0.1712108596920125 0.47880198851001915 0.5171106905126743 24.90287 23.69252 23.5443 1.3585700000000003
29.0 53.10942 -27.92007 0.344756802314567 0.7708420015111914 0.7840588247881749 25.62373 24.61622 24.49897 1.1247599999999984
34.0 53.11049 -27.91988 0.16356270269993498 0.553781384102653 0.5131710008699478 25.59132 24.95525 24.60846 0.9828599999999987
37.0 53.10927 -27.91972 0.2590522762630437 0.5890538378368577 0.6552160881962155 25.30892 24.38582 23.85461 1.4543099999999995
42.0 53.11777 -27.91935 0.185432288248468 0.5215622817599215 0.559430031624749 23.6914 22.39582 21.88535 1.8060500000000026
44.0 53.10861 -27.91939 0.17918487480242912 0.37549504068704187 0.5295086703246549 26.81211 26.17896 25.19068 1.6214300000000001
47.0 53.1119 -27.9193 0.21314661145368513 0.5383445952093466 0.5670622279408065 23.92704 22.85602 22.39526 1.5317800000000013
48.0 53.11334 -27.91923 0.1617146479960366 0.3958617030974165 0.36372330074192033 25.79158 25.0544 25.13227 0.6593100000000014
50.0 53.11782 -27.91887 0.3970475582191265 0.7297661061983414 0.743798728527387 22.12613 20.24662 19.60776 2.518370000000001
51.0 53.11215 -27.91903 0.1410997960433732 0.4220126240637422 0.4691992311849995 24.41997 23.21694 22.70664 1.7133299999999991
52.0 53.11403 -27.91906 0.13992109559523683 0.4064244661298311 0.41658433112660487 26.85519 25.46524 25.22856 1.6266299999999987
53.0 53.11261 -27.91902 0.1380888242795469 0.4274993638298893 0.48288580194390823 25.18239 24.32557 23.86682 1.315570000000001
58.0 53.10901 -27.91872 0.13820786349516195 0.39465491924594664 0.4168635165373403 25.20661 23.92154 23.63283 1.5737800000000028
59.0 53.11709 -27.91857 0.13390351114059973 0.3885768136192694 0.5099557327758808 26.27098 25.07716 24.44059 1.8303900000000013
60.0 53.11624 -27.91854 0.1353941516926299 0.38670993779247687 0.369338875814108 25.92143 24.7958 24.36239 1.5590399999999995
63.0 53.11093 -27.91837 0.1399896551772134 0.40066006225406287 0.5061072310660271 25.78678 24.73617 24.35956 1.427220000000002
67.0 53.11043 -27.91819 0.24368215710848265 0.6615903822989737 0.6544425897329929 26.052 24.89016 24.57475 1.477249999999998
69.0 53.10982 -27.91813 0.13277786223334037 0.3765756926030753 0.35506136650133147 25.77061 24.81852 24.60292 1.1676900000000003
75.0 53.10518 -27.91789 0.17721033207452383 0.4668405362822261 0.49094554329083095 25.54411 24.50443 24.03314 1.5109700000000004
82.0 53.10485 -27.91769 0.1871349585287179 0.4547778415772133 0.48578280302715965 24.53759 23.65727 23.09754 1.440050000000003
84.0 53.11042 -27.91762 0.14114214231787806 0.5288636128947615 0.6324634591444904 27.67989 25.87136 25.25784 2.4220499999999987
86.0 53.10965 -27.91747 0.142119413006083 0.39452796757538794 0.42296751948192757 26.24423 25.13517 24.76188 1.4823500000000003
87.0 53.11987 -27.91741 0.12184989543580371 0.5958538446790536 0.4996623051391275 25.01203 24.75376 24.30222 0.7098100000000009
88.0 53.10588 -27.91729 0.11250623724055916 0.3559951528271937 0.35402725654103395 26.30499 25.39523 25.10916 1.1958300000000008
90.0 53.10988 -27.91721 0.3013813442032651 0.758396690384242 0.8724726243241021 25.55213 24.48708 24.55569 0.9964399999999998
92.0 53.11977 -27.91717 0.20662580904456201 0.5413731673533113 0.4753234600666335 25.25728 24.43978 24.51735 0.7399300000000011
100.0 53.10827 -27.91695 0.19156694092274115 0.6151550191610902 0.5928618834165478 26.4577 25.11722 24.8052 1.6524999999999999
101.0 53.10443 -27.91696 0.17550940759686082 0.47960830177162994 0.4869892258990425 26.71108 25.72947 24.93015 1.780929999999998
102.0 53.10505 -27.91689 0.2097827370136459 0.5074889346128645 0.5009501396024421 25.06009 24.03406 23.6162 1.4438899999999997
103.0 53.1061 -27.91688 0.29089981258543507 0.6752434038973136 0.5437218631016115 25.47544 24.54518 24.65041 0.8250299999999982
104.0 53.10988 -27.91677 0.2811018990301773 0.6638983693181858 0.684373092983561 22.72435 21.50885 21.068 1.6563499999999998
105.0 53.1076 -27.91686 0.33224510998043716 0.646345976890423 0.5982647150555995 25.38154 24.35219 24.05802 1.323520000000002
106.0 53.10656 -27.91677 0.3692931714035909 0.8758665663756572 1.0720972985185362 23.95539 23.15573 23.02826 0.9271300000000018
108.0 53.10457 -27.9168 0.17587816355803132 0.48147665555324326 0.4905310848880779 25.37243 24.44201 23.90059 1.4718400000000003
111.0 53.11342 -27.91668 0.248630271176404 0.5776172415341586 0.6383119565931757 25.34622 24.57297 24.51174 0.8344799999999992
114.0 53.10815 -27.91664 0.37897497030097305 0.8094133790601356 0.83210249650265 24.44969 23.51479 23.44709 1.002600000000001
